League,GameId,MatchId,WinTeam,LossTeam,BestOf,SeriesScore,Gamelength,Team1Gold,Team2Gold,Team1Kills,Team2Kills
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_2_2,LPL/2025 Season/Split 1 Playoffs_Round 2_2,Anyone's Legend,Ninjas in Pyjamas.CN,5.0,2-3,28:20,56003,44668,17,3
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_2_3,LPL/2025 Season/Split 1 Playoffs_Round 2_2,Ninjas in Pyjamas.CN,Anyone's Legend,5.0,2-3,35:27,67691,60661,18,15
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_2_4,LPL/2025 Season/Split 1 Playoffs_Round 2_2,Anyone's Legend,Ninjas in Pyjamas.CN,5.0,2-3,25:53,52149,43802,16,4
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_2_5,LPL/2025 Season/Split 1 Playoffs_Round 2_2,Anyone's Legend,Ninjas in Pyjamas.CN,5.0,2-3,29:13,59567,47772,26,10
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_3_1,LPL/2025 Season/Split 1 Playoffs_Round 2_3,ThunderTalk Gaming,Bilibili Gaming,5.0,1-3,34:08,58023,66987,11,27
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_3_2,LPL/2025 Season/Split 1 Playoffs_Round 2_3,Bilibili Gaming,ThunderTalk Gaming,5.0,1-3,27:08,57615,41475,23,0
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_3_3,LPL/2025 Season/Split 1 Playoffs_Round 2_3,Bilibili Gaming,ThunderTalk Gaming,5.0,1-3,28:26,48586,61789,12,31
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_3_4,LPL/2025 Season/Split 1 Playoffs_Round 2_3,Bilibili Gaming,ThunderTalk Gaming,5.0,1-3,30:54,48826,63269,4,25
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_4_1,LPL/2025 Season/Split 1 Playoffs_Round 2_4,Ninjas in Pyjamas.CN,Top Esports,5.0,1-3,34:34,71166,58003,27,6
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_4_2,LPL/2025 Season/Split 1 Playoffs_Round 2_4,Top Esports,Ninjas in Pyjamas.CN,5.0,1-3,44:56,84181,78119,28,17
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_4_3,LPL/2025 Season/Split 1 Playoffs_Round 2_4,Top Esports,Ninjas in Pyjamas.CN,5.0,1-3,26:17,42618,53216,4,17
LPL,LPL/2025 Season/Split 1 Playoffs_Round 2_4_4,LPL/2025 Season/Split 1 Playoffs_Round 2_4,Top Esports,Ninjas in Pyjamas.CN,5.0,1-3,30:50,53200,61439,9,18
LPL,LPL/2025 Season/Split 1 Playoffs_Round 3_1_1,LPL/2025 Season/Split 1 Playoffs_Round 3_1,Bilibili Gaming,Top Esports,5.0,1-3,29:38,59143,46173,19,6
LPL,LPL/2025 Season/Split 1 Playoffs_Round 3_1_2,LPL/2025 Season/Split 1 Playoffs_Round 3_1,Top Esports,Bilibili Gaming,5.0,1-3,26:10,52904,40945,23,6
LPL,LPL/2025 Season/Split 1 Playoffs_Round 3_1_3,LPL/2025 Season/Split 1 Playoffs_Round 3_1,Top Esports,Bilibili Gaming,5.0,1-3,35:39,67827,65135,13,7
LPL,LPL/2025 Season/Split 1 Playoffs_Round 3_1_4,LPL/2025 Season/Split 1 Playoffs_Round 3_1,Top Esports,Bilibili Gaming,5.0,1-3,37:12,60904,70935,14,24
LPL,LPL/2025 Season/Split 1 Playoffs_Round 4_1_1,LPL/2025 Season/Split 1 Playoffs_Round 4_1,Anyone's Legend,JD Gaming,5.0,2-3,40:36,67486,77488,8,20
LPL,LPL/2025 Season/Split 1 Playoffs_Round 4_1_2,LPL/2025 Season/Split 1 Playoffs_Round 4_1,JD Gaming,Anyone's Legend,5.0,2-3,28:00,60199,46946,22,8
LPL,LPL/2025 Season/Split 1 Playoffs_Round 4_1_3,LPL/2025 Season/Split 1 Playoffs_Round 4_1,Anyone's Legend,JD Gaming,5.0,2-3,37:14,71858,64206,20,8
LPL,LPL/2025 Season/Split 1 Playoffs_Round 4_1_4,LPL/2025 Season/Split 1 Playoffs_Round 4_1,JD Gaming,Anyone's Legend,5.0,2-3,30:38,60203,48181,16,3
LPL,LPL/2025 Season/Split 1 Playoffs_Round 4_1_5,LPL/2025 Season/Split 1 Playoffs_Round 4_1,Anyone's Legend,JD Gaming,5.0,2-3,45:30,86620,74018,23,6
LPL,LPL/2025 Season/Split 1 Playoffs_Round 4_2_1,LPL/2025 Season/Split 1 Playoffs_Round 4_2,JD Gaming,Top Esports,5.0,1-3,34:57,69805,57089,15,5
LPL,LPL/2025 Season/Split 1 Playoffs_Round 4_2_2,LPL/2025 Season/Split 1 Playoffs_Round 4_2,Top Esports,JD Gaming,5.0,1-3,26:48,53996,41296,12,1
LPL,LPL/2025 Season/Split 1 Playoffs_Round 4_2_3,LPL/2025 Season/Split 1 Playoffs_Round 4_2,Top Esports,JD Gaming,5.0,1-3,35:11,59152,70306,5,20
LPL,LPL/2025 Season/Split 1 Playoffs_Round 4_2_4,LPL/2025 Season/Split 1 Playoffs_Round 4_2,Top Esports,JD Gaming,5.0,1-3,34:33,56953,67811,10,25
LPL,LPL/2025 Season/Split 1_Week 1_1_1,LPL/2025 Season/Split 1_Week 1_1,Weibo Gaming,Oh My God,5.0,0-3,35:23,69462,59252,17,5
LPL,LPL/2025 Season/Split 1_Week 1_1_2,LPL/2025 Season/Split 1_Week 1_1,Weibo Gaming,Oh My God,5.0,0-3,32:32,54281,66484,11,18
LPL,LPL/2025 Season/Split 1_Week 1_1_3,LPL/2025 Season/Split 1_Week 1_1,Weibo Gaming,Oh My God,5.0,0-3,33:34,58492,67406,18,22
LPL,LPL/2025 Season/Split 1_Week 2_1_1,LPL/2025 Season/Split 1_Week 2_1,LNG Esports,ThunderTalk Gaming,5.0,3-1,34:58,65272,59854,20,14
LPL,LPL/2025 Season/Split 1_Week 2_1_2,LPL/2025 Season/Split 1_Week 2_1,ThunderTalk Gaming,LNG Esports,5.0,3-1,34:13,68796,55309,19,7
